circuitid,circuit,race_count
14,Autodromo Nazionale di Monza,74
6,Circuit de Monaco,70
9,Silverstone Circuit,59
13,Circuit de Spa-Francorchamps,57
7,Circuit Gilles Villeneuve,43
20,Nürburgring,41
18,Autódromo José Carlos Pace,41
11,Hungaroring,39
70,Red Bull Ring,38
10,Hockenheimring,37
39,Circuit Park Zandvoort,34
4,Circuit de Barcelona-Catalunya,34
22,Suzuka Circuit,34
21,Autodromo Enzo e Dino Ferrari,31
1,Albert Park Grand Prix Circuit,27
32,Autódromo Hermanos Rodríguez,24
3,Bahrain International Circuit,21
46,Watkins Glen,20
30,Kyalami,20
25,Autódromo Juan y Oscar Gálvez,20
19,Indianapolis Motor Speedway,19
2,Sepang International Circuit,19
34,Circuit Paul Ricard,18
8,Circuit de Nevers Magny-Cours,18
17,Shanghai International Circuit,17
24,Yas Marina Circuit,16
15,Marina Bay Street Circuit,15
38,Brands Hatch,14
27,Autódromo do Estoril,13
69,Circuit of the Americas,12
29,Adelaide Street Circuit,11
55,Reims-Gueux,11
36,Autódromo Internacional Nelson Piquet,10
40,Zolder,10
45,Jarama,9
5,Istanbul Park,9
48,Mosport International Raceway,8
73,Baku City Circuit,8
71,Sochi Autodrom,8
43,Long Beach,8
37,Detroit Street Circuit,7
26,Circuito de Jerez,7
47,Scandinavian Raceway,6
41,Dijon-Prenois,6
58,Aintree,5
53,Rouen-Les-Essarts,5
66,Circuit Bremgarten,5
12,Valencia Street Circuit,5
77,Jeddah Corniche Circuit,4
16,Fuji Speedway,4
49,Montjuïc,4
35,Korean International Circuit,4
51,Charade Circuit,4
78,Losail International Circuit,3
79,Miami International Autodrome,3
56,Prince George Circuit,3
68,Buddh International Circuit,3
33,Phoenix street circuit,3
44,Las Vegas Street Circuit,2
59,Circuito da Boavista,2
28,Okayama International Circuit,2
67,Circuit de Pedralbes,2
52,Circuit Mont-Tremblant,2
50,Nivelles-Baulers,2
75,Autódromo Internacional do Algarve,2
80,Las Vegas Strip Street Circuit,2
60,Riverside International Raceway,1
31,Donington Park,1
54,Le Mans,1
65,Pescara Circuit,1
42,Fair Park,1
63,Sebring International Raceway,1
62,Monsanto Park Circuit,1
76,Autodromo Internazionale del Mugello,1
64,Ain Diab,1
57,Zeltweg,1
61,AVUS,1
